2737,3047,Elif,5.0
2903,3280,Andrea,3.0
3079,3504,Laura,7.0
12398,11756,Gea,2.0
16276,3280,Andrea,3.0
19967,75450,Sasa,10.0
20534,77540,Sabrina,5.0
20587,77540,Sabrina,5.0
20606,77932,Giovanna,3.0
20699,78287,Frank & Soledad,8.0
21193,80755,Marianna,4.0
21249,81015,Emanuele,10.0
21811,5232802,Coan,16.0
22335,85707,Elena,4.0
22395,5232802,Coan,16.0
22573,86882,Francesco,1.0
22930,77540,Sabrina,5.0
23803,5232802,Coan,16.0
24557,86053,Els,1.0
25875,77932,Giovanna,3.0
26957,3280,Andrea,3.0
27816,119186,Primarosa M.Rita,3.0
29606,127506,Pino,1.0
29902,128832,Loredana,1.0
30887,132622,Mirela & Marco,3.0
31058,133372,Emanuela,5.0
31430,135012,Angiola,3.0
31464,135112,Mario,1.0
36223,155546,Micaela,2.0
37054,160020,Lorenzo,8.0
37305,161114,Carla,3.0
37307,161114,Carla,3.0
42829,119186,Primarosa M.Rita,3.0
43912,192075,Rita,1.0
44442,195040,Hanen,3.0
46669,205102,Antonio,2.0
47149,212374,Simona,2.0
47213,205102,Antonio,2.0
48807,147227,Irene,1.0
49206,212374,Simona,2.0
49240,224479,Ermanno,3.0
50333,230736,Sita Alessandra,3.0
50385,231096,Laura,2.0
50471,231637,Lavinia,1.0
52805,244775,Francesco,2.0
53203,247495,Gabriele,1.0
53322,248295,Tom,11.0
53325,248295,Tom,11.0
53670,3504,Laura,7.0
53844,3504,Laura,7.0
54991,259007,Tiziana,1.0
55710,263254,Andrea E Carlotta,4.0
55834,133372,Emanuela,5.0
56795,269706,Matilde,3.0
56801,269706,Matilde,3.0
57982,276063,Guglielmo,21.0
57996,277019,Lis Mari,1.0
58137,276894,Francesco,10.0
58273,276894,Francesco,10.0
58343,276894,Francesco,10.0
59749,133372,Emanuela,5.0
60300,290437,Guido,1.0
63092,307669,Arabella,1.0
64683,316068,Federico,42.0
65104,318301,Andrea,3.0
65658,321012,Massimo,1.0
68731,3504,Laura,7.0
69146,345563,Giandomenico,1.0
70006,353186,Sole E Luna,4.0
70477,355604,Alessandro & Silvia,3.0
70621,358775,Antonino,2.0
71341,364763,Annabella,1.0
